"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"4609","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nakatsumacho","Enza",16,"No_information",109090.909090909,"Semi-shaped",15,90,2020,"LS","House","House","North","Private Road",5,"Non-divided City Planning Area",100,"1st",2020,0,1,"3","2"
"4610","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Danshicho","Enza",24,"No_information",189189.189189189,"Semi-rectangular Shaped",10,115,2018,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",100,"4th",2018,0,1,"3","1"
"4611","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kankodori","Kawaramachi",5,"3LDK",226666.666666667,"No_information",0,0,2009,"RC","House","House","No_information","No_information",0,"Commercial Zone",500,"4th",2015,6,0,"5","2"
"4612","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Sue","Sue",17,"No_information",58620.6896551724,"Semi-rectangular Shaped",15,100,1989,"W","House","House","Northwest","Road",5,"Non-divided City Planning Area",200,"2nd",2017,28,0,"2","1"
"4613","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",60,"No_information",111111.111111111,"Irregular Shaped",0,0,1935,"No_information","House","House","Southeast","City Road",4,"Non-divided City Planning Area",200,"2nd",2020,85,0,"2","1"
"4614","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimahigashimachi","Yakuri",8,"No_information",125000,"Semi-trapezoidal Shaped",8,110,2004,"W","House","No_information","North","Private Road",4.5,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2010,6,0,"2","1"
"4615","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tsukijicho","Imabashi",2,"No_information",65555.5555555556,"Rectangular Shaped",6,75,1935,"W","House","No_information","North","City Road",6,"Neighborhood Commercial Zone",300,"3rd",2011,76,0,"4","2"
"4616","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Kukodori",9,"No_information",60740.7407407407,"Semi-trapezoidal Shaped",12,120,2003,"LS","House","House","Southwest","Road",6,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2017,14,0,"2","1"
"4617","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kanonjicho","Kan-onji (Kagawa)",5,"No_information",59090.9090909091,"Trapezoidal Shaped",7.2,70,1997,"W","House","No_information","South","City Road",2.8,"Commercial Zone",400,"2nd",2011,14,0,"2","1"
"4618","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Shiroganecho","Sakaide",23,"No_information",14814.8148148148,"Rectangular Shaped",21,60,2000,"W","House","No_information","East","Road",0,"Category I Residential Zone",200,"3rd",2010,10,0,"2","1"
"4619","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",18,"No_information",24666.6666666667,"Semi-rectangular Shaped",12,125,1991,"W","House","No_information","West","Private Road",4.5,"Quasi-industrial Zone",200,"1st",2009,18,0,"2","1"
"4620","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsu",2,"No_information",29677.4193548387,"Semi-rectangular Shaped",9,120,1975,"W","House","No_information","North","Private Road",4,"Neighborhood Commercial Zone",200,"3rd",2007,32,0,"2","1"
"4621","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",10,"No_information",38709.6774193548,"Semi-rectangular Shaped",11,95,1980,"W","House","No_information","East","Private Road",6.4,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2012,32,0,"3","1"
"4622","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Minatomachi","Kan-onji (Kagawa)",16,"No_information",13600,"Rectangular Shaped",8.6,120,1964,"W","House","House","South","City Road",2.6,"Quasi-industrial Zone",200,"2nd",2020,56,0,"2","1"
"4623","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaiminamimachi","Kinashi",21,"No_information",80000,"Semi-shaped",10,105,1988,"W","House","No_information","North","City Road",4,"Category I Exclusively Low-story Residential Zone",100,"3rd",2009,21,0,"3","2"
"4624","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Mii","Tadotsu",60,"No_information",121212.121212121,"Semi-rectangular Shaped",10.3,0,2016,"W","House","House","Northwest","Town Road",4.2,"Non-divided City Planning Area",200,"3rd",2016,0,1,"2","1"
"4625","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Sakaide",60,"No_information",82352.9411764706,"Semi-rectangular Shaped",0,105,2002,"W","House","House","South","Private Road",5.5,"Category I Residential Zone",200,"1st",2020,18,0,"2","1"
