"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"1","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,"No_information",130000,"Semi-square Shaped",14,110,2012,"W","House","No_information","Southwest","Private Road",6.2,"Non-divided City Planning Area",100,"1st",2012,0,1,"3","2"
"2","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",25,"No_information",88888.8888888889,"Semi-rectangular Shaped",18,200,1990,"W","House","No_information","South","City Road",6,"Category II Exclusively Medium-high Residential Zone",200,"4th",2020,30,0,"3","2"
"3","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",9,"4LDK",275000,"No_information",0,0,2007,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2016,9,0,"4","1"
"4","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",20,"No_information",80000,"Semi-trapezoidal Shaped",6.3,90,2019,"W","House","House","North","City Road",5,"Non-divided City Planning Area",100,"1st",2019,0,1,"2","1"
"5","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"No_information",130434.782608696,"Trapezoidal Shaped",10,95,1999,"W","House","No_information","West","City Road",5.4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2013,14,0,"3","2"
"6","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Shimotakaoka","Shirayama (Takamatsu)",7,"No_information",86486.4864864865,"Semi-trapezoidal Shaped",13,140,2000,"W","House","House","South","Road",4.8,"Non-divided City Planning Area",200,"1st",2018,18,0,"2","1"
"7","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",60,"No_information",61600,"Semi-trapezoidal Shaped",8,100,2000,"W","House","No_information","North","City Road",4,"Non-divided City Planning Area",200,"3rd",2009,9,0,"2","1"
"8","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Mizuta",60,"No_information",55000,"Irregular Shaped",0,730,2005,"RC","House","No_information","Southwest","City Road",5,"Non-divided City Planning Area",200,"1st",2010,5,0,"3","2"
"9","Pre-owned Condominiums, etc.","No_information","37202","Kagawa Prefecture","Marugame City","Joseicho","Marugame",11,"4LDK",178947.368421053,"No_information",0,0,1935,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"3rd",2015,80,0,"2","2"
"10","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",8,"1LDK",125000,"No_information",0,0,1985,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"3rd",2020,35,0,"4","2"
"11","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Yoshida","Hiketa",14,"No_information",30769.2307692308,"Semi-shaped",13,175,2003,"W","House, Other","House","Northwest","City Road",5,"Outside City Planning Area",0,"2nd",2020,17,0,"1","1"
"12","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoenkitaguchi",8,"1K",1e+05,"No_information",0,0,1990,"RC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"4th",2011,21,0,"4","2"
"13","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",14,"No_information",75000,"Semi-trapezoidal Shaped",0,115,2012,"W","House","House","Southeast","Private Road",4.2,"Non-divided City Planning Area",100,"1st",2019,7,0,"2","1"
"14","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Kukodori",8,"No_information",107142.857142857,"Semi-trapezoidal Shaped",11,105,1998,"W","House","No_information","South","Private Road",4.2,"Category I Exclusively Medium-high Residential Zone",200,"1st",2012,14,0,"2","1"
"15","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Kitahigashiguchi",6,"No_information",43703.7037037037,"Semi-rectangular Shaped",12.5,90,1979,"W","House","No_information","South","City Road",4,"Non-divided City Planning Area",200,"4th",2011,32,0,"3","1"
"16","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",8,"4LDK",51428.5714285714,"No_information",0,0,1974,"SRC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"3rd",2019,45,0,"4","1"
"17","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Saihocho","Showacho (Kagawa)",7,"No_information",93750,"Rectangular Shaped",6,110,1994,"LS","House","House","South","City Road",7,"Neighborhood Commercial Zone",300,"1st",2019,25,0,"3","2"
"18","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Tanaka","Nogakubumae",60,"No_information",54444.4444444444,"Irregular Shaped",16,115,1995,"W","House","House","East","Private Road",6,"Non-divided City Planning Area",200,"3rd",2014,19,0,"2","1"
"19","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",9,"3LDK",2e+05,"No_information",0,0,1988,"SRC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"3rd",2015,27,0,"3","2"
"20","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",29,"No_information",161111.111111111,"Rectangular Shaped",14.5,0,2013,"LS","House","House","North","Private Road",6,"Category I Residential Zone",200,"2nd",2014,1,0,"2","1"
"21","Residential Land(Land and Building)","Commercial Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachokamitakano","Motoyama (Kagawa)",23,"No_information",250000,"Trapezoidal Shaped",12.5,0,1935,"W","House","No_information","East","National Highway",13,"Non-divided City Planning Area",200,"2nd",2012,77,0,"2","2"
"22","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",5,"No_information",242105.263157895,"Rectangular Shaped",6.8,75,1973,"W","House","No_information","South","Private Road",4,"Category I Residential Zone",200,"2nd",2012,39,0,"4","2"
"23","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Furubabacho","Kawaramachi",6,"No_information",250000,"Rectangular Shaped",6,195,1955,"W","House, Shop","Shop","North","City Road",8,"Commercial Zone",500,"1st",2015,60,0,"5","3"
"24","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Murojimmachi","Sanjo (Takamatsu)",13,"3LDK",371428.571428571,"No_information",0,0,2010,"RC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"4th",2020,10,0,"4","3"
"25","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nakatsumacho","Enza",60,"No_information",117241.379310345,"Semi-trapezoidal Shaped",27,125,2019,"W","House","House","East","Private Road",5,"Non-divided City Planning Area",100,"4th",2018,-1,0,"3","2"
"26","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",4,"No_information",75384.6153846154,"Semi-square Shaped",13,80,1969,"W","House","No_information","North","Private Road",4,"Category I Residential Zone",200,"3rd",2011,42,0,"4","2"
"27","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",60,"No_information",70769.2307692308,"Semi-trapezoidal Shaped",9,115,1935,"W","House, Other","House","East","Private Road",4,"Non-divided City Planning Area",200,"4th",2018,83,0,"2","1"
"28","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",4,"4LDK",136842.105263158,"No_information",0,0,2003,"SRC","House","No_information","No_information","No_information",0,"Quasi-industrial Zone",200,"4th",2013,10,0,"3","2"
"29","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,"No_information",16000,"Rectangular Shaped",19,95,1977,"W","House","No_information","South","City Road",3,"Non-divided City Planning Area",200,"3rd",2011,34,0,"4","2"
"30","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kunitacho","Kan-onji (Kagawa)",25,"No_information",7500,"Semi-rectangular Shaped",15,180,1982,"W","House","Other","Southwest","City Road",3.8,"Non-divided City Planning Area",200,"4th",2017,35,0,"2","1"
"31","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","Oaza Higashibun","Utazu",60,"No_information",96296.2962962963,"Rectangular Shaped",15,125,2019,"No_information","House","House","Northeast","Private Road",6,"Non-divided City Planning Area",200,"1st",2019,0,1,"3","1"
"32","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",7,"No_information",109677.419354839,"Irregular Shaped",3,115,1986,"S","House","No_information","South","City Road",5,"Category I Residential Zone",200,"1st",2009,23,0,"3","2"
"33","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Nakasuji","Sanbonmatsu (Kagawa)",60,"No_information",31428.5714285714,"Semi-trapezoidal Shaped",9,85,1996,"W","House","House","North","Private Road",4,"Non-divided City Planning Area",200,"4th",2015,19,0,"2","1"
"34","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Gotocho","Kozai",18,"No_information",17543.8596491228,"Semi-rectangular Shaped",23,210,1972,"RC","House","Office","North","City Road",5.5,"Industrial Zone",200,"1st",2017,45,0,"3","1"
"35","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kinashicho","Kinashi",9,"No_information",85714.2857142857,"Semi-shaped",11,105,2017,"W","House","House","Southwest","Private Road",4,"Non-divided City Planning Area",100,"1st",2018,1,0,"3","1"
"36","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",20,"No_information",6101.69491525424,"Semi-rectangular Shaped",17,195,1972,"W","House","House","Northwest","City Road",9,"Non-divided City Planning Area",200,"3rd",2019,47,0,"1","1"
"37","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kusugamicho","Ritsurin",8,"No_information",90588.2352941177,"Rectangular Shaped",6.4,75,1961,"W","House","House","East","Road",4,"Category II Residential Zone",200,"4th",2018,57,0,"4","4"
"38","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",7,"No_information",27500,"Semi-trapezoidal Shaped",25,270,1962,"S","House, Factory, Office","No_information","East","Prefectural Road",8.5,"Quasi-industrial Zone",200,"4th",2012,50,0,"2","1"
"39","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kinashi",120,"3LDK",188235.294117647,"No_information",0,0,2000,"SRC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"3rd",2011,11,0,"3","2"
"40","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Nishikimachi","Takamatsu (Kagawa)",5,"4LDK",225000,"No_information",0,0,1996,"SRC","House","No_information","No_information","No_information",0,"Commercial Zone",400,"3rd",2012,16,0,"4","3"
"41","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimahigashimachi","Katamoto",15,"No_information",70000,"Rectangular Shaped",13,200,1991,"W","House","No_information","North","City Road",9,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2012,21,0,"3","1"
"42","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kawatsucho","Sakaide",60,"No_information",18518.5185185185,"Semi-rectangular Shaped",14,115,1973,"S","House","No_information","Southwest","Private Road",3.6,"Non-divided City Planning Area",200,"3rd",2008,35,0,"2","1"
"43","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nariaicho","Enza",60,"No_information",90322.5806451613,"Semi-rectangular Shaped",10,105,1995,"W","House","House","North","Private Road",5,"Category I Exclusively Medium-high Residential Zone",200,"1st",2018,23,0,"3","1"
"44","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",3,"No_information",60000,"Rectangular Shaped",9,55,1935,"W","House","No_information","North","Private Road",3,"Quasi-industrial Zone",200,"1st",2008,73,0,"3","2"
"45","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"No_information",82857.1428571429,"Rectangular Shaped",18,135,1978,"W","House","No_information","North","City Road",6,"Quasi-industrial Zone",200,"2nd",2010,32,0,"3","2"
"46","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","(No Address)","Utazu",60,"No_information",164705.882352941,"Irregular Shaped",9,105,2009,"W","House","No_information","West","Private Road",5,"Category I Exclusively Medium-high Residential Zone",200,"4th",2009,0,1,"3","1"
"47","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shiogamicho","Kawaramachi",4,"No_information",76470.5882352941,"Semi-square Shaped",9,55,1972,"W","House","No_information","West","City Road",5.8,"Neighborhood Commercial Zone",300,"2nd",2013,41,0,"5","2"
"48","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nishikasugacho","Sanjo (Takamatsu)",60,"No_information",12424.2424242424,"Irregular Shaped",0,145,1962,"RC","House, Office","House","Northwest","City Road",3,"Category I Exclusively Medium-high Residential Zone",200,"4th",2016,54,0,"4","1"
"49","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Takinomiya","Takinomiya",11,"No_information",15116.2790697674,"Semi-trapezoidal Shaped",0,100,1999,"W","House","No_information","Northwest","Private Road",6,"Non-divided City Planning Area",200,"4th",2009,10,0,"2","1"
"50","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchoyusa","Okamoto (Takamatsu)",90,"No_information",42272.7272727273,"Semi-square Shaped",15,160,1991,"W","House","House","East","Prefectural Road",8,"Non-divided City Planning Area",200,"1st",2021,30,0,"2","1"
"51","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Sangawamachiishidahigashi","Kanzaki (Kagawa)",21,"No_information",3703.7037037037,"Semi-shaped",12,0,1935,"W","House","Other","No facing road","No_information",0,"Non-divided City Planning Area",200,"3rd",2018,83,0,"1","1"
"52","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tarumicho","Okada (Takamatsu)",60,"No_information",46500,"Semi-rectangular Shaped",12.7,95,1980,"W","House","House","Northwest","City Road",5,"Non-divided City Planning Area",200,"1st",2020,40,0,"2","1"
"53","Residential Land(Land and Building)","Commercial Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",15,"No_information",6250,"Semi-rectangular Shaped",8.5,45,1935,"W","House","Other","South","City Road",10.5,"Non-divided City Planning Area",200,"2nd",2017,82,0,"1","1"
"54","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurin",6,"5DK",141176.470588235,"No_information",0,0,1985,"SRC","House","No_information","No_information","No_information",0,"Category II Residential Zone",200,"4th",2008,23,0,"4","2"
"55","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",5,"3LDK",388888.888888889,"No_information",0,0,2007,"RC","House","House","No_information","No_information",0,"Commercial Zone",400,"3rd",2020,13,0,"4","1"
"56","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Katajo","No_station",999,"No_information",18636.3636363636,"Irregular Shaped",3,75,1977,"W","House","House","East","Town Road",6,"Non-divided City Planning Area",200,"1st",2019,42,0,"1","1"
"57","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",29,"No_information",34615.3846153846,"Rectangular Shaped",15,115,1995,"W","House","No_information","Northwest","Town Road",5,"Non-divided City Planning Area",200,"2nd",2012,17,0,"2","1"
"58","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Sakaide",60,"No_information",8088.23529411765,"&quot;Flag-shaped&quot; etc.",0,160,1984,"W","House","House","Southeast","City Road",4,"Non-divided City Planning Area",200,"1st",2021,37,0,"2","1"
"59","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Shinhamacho","Marugame",6,"No_information",47619.0476190476,"Semi-trapezoidal Shaped",13.5,120,1987,"W","House","No_information","South","City Road",6,"Quasi-industrial Zone",200,"4th",2020,33,0,"2","1"
"60","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shiogamicho","Kawaramachi",5,"No_information",82352.9411764706,"Semi-shaped",8,95,1979,"S","House","House","Southwest","City Road",6,"Neighborhood Commercial Zone",300,"1st",2018,39,0,"5","2"
"61","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ogimachi","Takamatsu (Kagawa)",13,"No_information",72727.2727272727,"Semi-rectangular Shaped",5.5,75,1967,"W","House","No_information","East","City Road",45,"Category I Residential Zone",200,"3rd",2010,43,0,"4","1"
"62","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Tanoura","No_station",999,"No_information",13380.2816901408,"Semi-trapezoidal Shaped",28.5,200,1987,"S","House","House","North","Prefectural Road",5,"Outside City Planning Area",0,"1st",2018,31,0,"1","1"
"63","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Fuseishicho","Sanjo (Takamatsu)",18,"4LDK",175000,"No_information",0,0,1996,"RC","House","House","No_information","No_information",0,"Category II Exclusively Medium-high Residential Zone",200,"3rd",2020,24,0,"4","2"
"64","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",19,"No_information",41666.6666666667,"Semi-rectangular Shaped",10.5,115,1996,"W","House","No_information","South","City Road",8,"Non-divided City Planning Area",200,"1st",2012,16,0,"1","1"
"65","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",3,"No_information",128571.428571429,"Semi-rectangular Shaped",11,110,2017,"W","House","House","South","Private Road",5.7,"Non-divided City Planning Area",100,"1st",2017,0,1,"2","1"
"66","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Shioyacho","Marugame",19,"No_information",86956.5217391304,"Semi-square Shaped",10.5,115,2000,"W","House","House","Northeast","City Road",3.5,"Category I Residential Zone",200,"3rd",2015,15,0,"2","1"
"67","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ogimachi","Showacho (Kagawa)",4,"No_information",314285.714285714,"Semi-rectangular Shaped",9,125,2008,"W","House","No_information","North","Private Road",4.2,"Category I Residential Zone",200,"2nd",2008,0,1,"3","1"
"68","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",16,"No_information",142857.142857143,"Semi-rectangular Shaped",13.5,145,2009,"W","House","No_information","East","City Road",5,"Category I Exclusively Medium-high Residential Zone",200,"1st",2009,0,1,"3","2"
"69","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hyakkemmachi","Kataharamachi (Takamatsu)",4,"2LDK",320000,"No_information",0,0,2009,"RC","House","House","No_information","No_information",0,"Commercial Zone",500,"2nd",2014,5,0,"4","4"
"70","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",8,"No_information",206250,"Semi-rectangular Shaped",16.5,110,2018,"W","House","House","East","Private Road",4.8,"Category I Exclusively Medium-high Residential Zone",200,"1st",2018,0,1,"3","2"
"71","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",21,"No_information",87878.7878787879,"Semi-trapezoidal Shaped",22,145,2011,"W","House","Other","South","Private Road",5,"Category I Residential Zone",200,"4th",2017,6,0,"3","2"
"72","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Mizuta",60,"No_information",164102.564102564,"Semi-rectangular Shaped",13,120,2018,"W","House","House","South","City Road",5,"Non-divided City Planning Area",100,"4th",2018,0,1,"3","2"
"73","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",90,"No_information",17647.0588235294,"Semi-rectangular Shaped",0,115,1996,"W","House","No_information","Southwest","Private Road",4.4,"Non-divided City Planning Area",200,"1st",2008,12,0,"2","1"
"74","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",2,"No_information",43157.8947368421,"Semi-rectangular Shaped",12,115,1980,"W","House","No_information","Southeast","Private Road",4,"Category I Residential Zone",200,"1st",2014,34,0,"2","1"
"75","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Yakuri",6,"No_information",14150.9433962264,"Irregular Shaped",9,500,1999,"S","House, Factory","No_information","Southeast","Prefectural Road",10,"Neighborhood Commercial Zone",200,"3rd",2011,12,0,"2","1"
"76","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Hiketa","Hiketa",4,"No_information",19000,"Semi-rectangular Shaped",6.5,100,1979,"W","House","House","West","City Road",4,"Non-divided City Planning Area",200,"3rd",2017,38,0,"1","1"
"77","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Maedanishimachi","Nishimaeda",20,"No_information",20344.8275862069,"Semi-shaped",15,70,1972,"W","House","House","Northeast","City Road",2.6,"Non-divided City Planning Area",100,"2nd",2014,42,0,"2","1"
"78","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Imabashi",8,"1K",68000,"No_information",0,0,1991,"SRC","House","No_information","No_information","No_information",0,"Industrial Zone",200,"3rd",2011,20,0,"4","2"
"79","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Shindencho","Marugame",60,"No_information",150000,"Semi-square Shaped",14,0,2016,"W","House","House","Southwest","City Road",6,"Non-divided City Planning Area",200,"4th",2018,2,0,"2","2"
"80","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Yakuri",3,"No_information",21739.1304347826,"Irregular Shaped",20,105,1977,"RC","House","House","South","City Road",4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2018,41,0,"2","1"
"81","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Kotohira","Kotodenkotohira",8,"No_information",41666.6666666667,"Irregular Shaped",21,130,1935,"W","House","No_information","Northwest","Town Road",3,"Non-divided City Planning Area",200,"4th",2012,77,0,"2","1"
"82","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Muragurocho","Kan-onji (Kagawa)",20,"No_information",76190.4761904762,"Semi-square Shaped",0,120,1999,"W","House","Other","West","Private Road",4.3,"Category I Exclusively Low-story Residential Zone",100,"4th",2015,16,0,"2","1"
"83","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Kazuhara","Tadotsu",60,"No_information",38461.5384615385,"Semi-square Shaped",19,195,1999,"S","House","No_information","Northwest","Town Road",5,"Non-divided City Planning Area",200,"2nd",2008,9,0,"2","1"
"84","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Toyohamachominoura","Minoura",22,"No_information",16101.6949152542,"Semi-trapezoidal Shaped",27.5,120,1963,"W","House","No_information","West","National Highway",10,"Outside City Planning Area",0,"2nd",2016,53,0,"1","1"
"85","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",29,"No_information",123809.523809524,"Semi-rectangular Shaped",11,85,1986,"W","House","House","West","City Road",4.1,"Category I Residential Zone",200,"3rd",2016,30,0,"3","1"
"86","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Furutakamatsuminami",8,"No_information",63157.8947368421,"Semi-rectangular Shaped",14,125,1991,"W","House","No_information","Northwest","Private Road",6.2,"Category I Exclusively Low-story Residential Zone",80,"2nd",2009,18,0,"2","1"
"87","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Minato","Sanbonmatsu (Kagawa)",20,"No_information",23404.2553191489,"Semi-rectangular Shaped",18,230,1980,"W","House, Shop","No_information","Southwest","City Road",7,"Non-divided City Planning Area",200,"1st",2009,29,0,"2","1"
"88","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachomatsusaki","Takuma",10,"No_information",22941.1764705882,"Semi-rectangular Shaped",9.5,70,1977,"W","House","No_information","West","Private Road",4.2,"Non-divided City Planning Area",200,"4th",2009,32,0,"1","1"
"89","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Shionoechokaminishi","Nogakubumae",150,"3LDK",66666.6666666667,"No_information",0,0,1988,"RC","House","No_information","No_information","No_information",0,"Outside City Planning Area",0,"2nd",2010,22,0,"2","1"
"90","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihigashimachi","Kozai",5,"No_information",72592.5925925926,"Semi-square Shaped",11,125,2000,"W","House","Other","Southwest","Private Road",4,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2014,14,0,"3","1"
"91","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Bancho","Kawaramachi",10,"3LDK",287500,"No_information",0,0,2001,"SRC","House","House","No_information","No_information",0,"Commercial Zone",400,"2nd",2016,15,0,"5","3"
"92","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"1LDK",76666.6666666667,"No_information",0,0,1975,"SRC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"4th",2017,42,0,"4","1"
"93","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Kitahigashiguchi",21,"No_information",85714.2857142857,"Rectangular Shaped",13,115,2005,"W","House","No_information","North","Private Road",6,"Non-divided City Planning Area",0,"1st",2009,4,0,"3","1"
"94","Residential Land(Land and Building)","Commercial Area","37203","Kagawa Prefecture","Sakaide City","Kawatsucho","Sakaide",60,"No_information",29166.6666666667,"Semi-square Shaped",23,220,1973,"W","House, Parking Lot, Other","House","Northeast","National Highway",26,"Non-divided City Planning Area",200,"4th",2017,44,0,"2","1"
