"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"1","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"3DK",55,1e+05,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2020
"2","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"3LDK",70,118571.428571429,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2020
"3","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",60,108333.333333333,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2020
"4","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"2DK",40,160000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2019
"5","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"2DK",55,114545.454545455,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2018
"6","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"3LDK",85,152941.176470588,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2018
"7","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",12,NA,140,60714.2857142857,"Square Shaped",11.5,95,1935,"LS","House","House","South","City Road",4.5,"Quasi-industrial Zone",60,200,"3rd",2018
"8","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",60,125000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2018
"9","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"4LDK",85,70588.2352941177,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"2nd",2018
"10","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"3LDK",65,1e+05,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2017
"11","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"2LDK",60,116666.666666667,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"2nd",2017
"12","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3DK",50,120000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2017
"13","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",60,158333.333333333,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2016
"14","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Asahimachi","Okimatsushima",19,NA,240,25833.3333333333,"Semi-rectangular Shaped",7,185,1935,"W","House","House","East","City Road",6,"Industrial Zone",60,200,"4th",2016
"15","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Shioya (Takamatsu)",120,NA,670,13432.8358208955,"Irregular Shaped",32,85,1935,"W","House","House","Northwest","City Road",2.7,"Outside City Planning Area",NA,NA,"4th",2018
"16","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Shioya (Takamatsu)",90,NA,410,12195.1219512195,"Irregular Shaped",NA,65,1935,"W","House","Other","South","Road",2,"Outside City Planning Area",NA,NA,"1st",2016
"17","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",120,NA,620,15000,"Semi-rectangular Shaped",14,115,1935,"W","House","Other","Southwest","Road",4.5,"Outside City Planning Area",NA,NA,"4th",2020
"18","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,770,12727.2727272727,"Semi-trapezoidal Shaped",14,160,1935,"W","House","House","Northeast","Road",3.5,"Outside City Planning Area",NA,NA,"3rd",2020
"19","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,510,3137.25490196078,"Irregular Shaped",43,125,1935,"W","House","House","Northeast","City Road",4,"Outside City Planning Area",NA,NA,"2nd",2020
"20","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,170,17647.0588235294,"Semi-trapezoidal Shaped",16,110,1935,"W","House","House","Northeast","Road",2.4,"Outside City Planning Area",NA,NA,"1st",2020
"21","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,390,25384.6153846154,"Semi-rectangular Shaped",18,80,1935,"W","House","House","Northwest","City Road",5.5,"Outside City Planning Area",NA,NA,"4th",2019
"22","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,410,12926.8292682927,"Semi-rectangular Shaped",10,155,1935,"W","House","House","Southwest","City Road",4.3,"Outside City Planning Area",NA,NA,"3rd",2019
"23","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,370,51351.3513513514,"Semi-trapezoidal Shaped",19,100,1935,"W","House","House","Northwest","City Road",5.5,"Outside City Planning Area",NA,NA,"2nd",2019
"24","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,610,1639.34426229508,"Irregular Shaped",21,115,1935,"W","House","Other","Southwest","City Road",5.5,"Outside City Planning Area",NA,NA,"2nd",2019
"25","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,310,30322.5806451613,"Irregular Shaped",9,95,1935,"W","House","House","Southwest","City Road",5,"Outside City Planning Area",NA,NA,"3rd",2018
"26","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,390,1282.05128205128,"&quot;Flag-shaped&quot; etc.",1.6,120,1935,"W","House","House","East","City Road",5.5,"Outside City Planning Area",NA,NA,"1st",2018
"27","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,390,9743.58974358974,"Semi-rectangular Shaped",17.5,80,1935,"W","House","House","Northwest","Road",4,"Outside City Planning Area",NA,NA,"1st",2017
"28","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,420,16190.4761904762,"Irregular Shaped",NA,75,1935,"W","House","House","South","City Road",3.3,"Outside City Planning Area",NA,NA,"3rd",2016
"29","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,350,5142.85714285714,"Semi-rectangular Shaped",16,85,1935,"W","House","House","West","City Road",3,"Outside City Planning Area",NA,NA,"2nd",2016
"30","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Yakuri",90,NA,330,36363.6363636364,"Irregular Shaped",16.5,130,1935,"W","House","House","Northwest","Road",5,"Outside City Planning Area",NA,NA,"1st",2016
"31","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",24,NA,130,146153.846153846,"Rectangular Shaped",9,100,1935,"W","House","House","North","City Road",5.8,"Non-divided City Planning Area",60,100,"2nd",2019
"32","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",16,NA,190,21052.6315789474,"Semi-rectangular Shaped",11,150,1935,"W","House","House","South","City Road",2,"Non-divided City Planning Area",60,100,"4th",2018
"33","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",20,NA,175,91428.5714285714,"Semi-rectangular Shaped",14,105,1935,"W","House","House","South","Private Road",5.3,"Non-divided City Planning Area",60,100,"1st",2018
"34","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",25,NA,190,110526.315789474,"Semi-shaped",11.5,100,1935,"W","House","House","South","Private Road",5.3,"Non-divided City Planning Area",60,100,"4th",2017
"35","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",19,NA,200,110000,"Semi-rectangular Shaped",16,195,1935,"W","House","House","West","City Road",4.3,"Non-divided City Planning Area",60,100,"3rd",2017
"36","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",19,NA,310,38709.6774193548,"Semi-rectangular Shaped",26,145,1935,"W","House","House","West","Prefectural Road",20,"Non-divided City Planning Area",60,200,"1st",2017
"37","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Iidacho","Kinashi",20,NA,150,32000,"Semi-rectangular Shaped",11,100,1935,"W","House","House","North","City Road",4,"Non-divided City Planning Area",60,100,"1st",2017
"38","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ikushimacho","Kozai",90,NA,390,25641.0256410256,"Irregular Shaped",15,200,1935,"W","House","House","Northwest","City Road",3.8,"Non-divided City Planning Area",60,100,"4th",2020
"39","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ikushimacho","Kozai",90,NA,290,9655.1724137931,"Semi-trapezoidal Shaped",18,125,1935,"W","House","House","East","City Road",2.5,"Non-divided City Planning Area",60,100,"3rd",2020
"40","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ikedacho","Ikenobe",90,NA,170,16470.5882352941,"Irregular Shaped",27,110,1935,"W","House","House","South","Private Road",4,"Outside City Planning Area",NA,NA,"1st",2020
"41","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ikedacho","Mizuta",90,NA,740,24324.3243243243,"Irregular Shaped",NA,145,1935,"W","House","House","West","City Road",4,"Outside City Planning Area",NA,NA,"4th",2016
"42","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",19,NA,180,22222.2222222222,"Rectangular Shaped",11.4,100,1935,"W","House","House","North","City Road",5,"Non-divided City Planning Area",60,100,"1st",2021
"43","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",23,NA,210,3333.33333333333,"Irregular Shaped",19,135,1935,"W","House","Other","South","Private Road",2.3,"Non-divided City Planning Area",60,100,"1st",2021
"44","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",9,NA,195,38461.5384615385,"Irregular Shaped",4,155,1935,"LS","House","House","South","City Road",3,"Non-divided City Planning Area",60,100,"4th",2020
"45","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",7,NA,200,110000,"Semi-rectangular Shaped",14,130,1935,"W","House","House","South","City Road",5,"Non-divided City Planning Area",60,100,"1st",2020
"46","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",2,NA,180,72222.2222222222,"Rectangular Shaped",10.8,130,1935,"LS","House","House","South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2020
"47","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",8,NA,520,23076.9230769231,"Semi-rectangular Shaped",21,190,1935,"W","House","House","West","Road",2,"Category I Residential Zone",60,200,"1st",2020
"48","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",9,NA,440,31818.1818181818,"Semi-rectangular Shaped",17,135,1935,"W","House","Other","West","Road",2,"Category I Residential Zone",60,200,"1st",2020
"49","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",10,NA,135,65925.9259259259,"Semi-trapezoidal Shaped",11.3,50,1935,"W","House","House","East","Private Road",5,"Category I Residential Zone",60,200,"3rd",2019
"50","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",6,NA,330,151.515151515152,"Semi-rectangular Shaped",22,65,1935,"W","House","House","East","Private Road",0,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2019
"51","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",12,NA,890,15730.3370786517,"Irregular Shaped",17,150,1935,"W","House","House","East","City Road",5,"Non-divided City Planning Area",60,100,"1st",2019
"52","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",6,NA,210,952.380952380952,"Semi-rectangular Shaped",14,110,1935,"W","House","House","South","Road",1.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2019
"53","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",14,NA,200,75000,"Semi-trapezoidal Shaped",NA,115,1935,"W","House","House","Southeast","Private Road",4.2,"Non-divided City Planning Area",60,100,"1st",2019
"54","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",20,NA,200,80000,"Semi-trapezoidal Shaped",6.3,90,1935,"W","House","House","North","City Road",5,"Non-divided City Planning Area",60,100,"1st",2019
"55","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",19,NA,680,30882.3529411765,"Semi-trapezoidal Shaped",38,130,1935,"LS","House","House","North","City Road",5.4,"Non-divided City Planning Area",60,100,"3rd",2018
"56","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",21,NA,170,158823.529411765,"Rectangular Shaped",9.6,105,1935,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2018
"57","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",15,NA,155,141935.483870968,"Semi-trapezoidal Shaped",11.5,115,1935,"W","House","House","West","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2018
"58","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",22,NA,NA,NA,"Rectangular Shaped",NA,120,1935,"W","House","House","East","Private Road",4.5,"Non-divided City Planning Area",60,100,"4th",2017
"59","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",21,NA,190,136842.105263158,"Rectangular Shaped",10,105,1935,"W","House","House","North","Private Road",5,"Non-divided City Planning Area",60,200,"4th",2017
"60","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",11,NA,490,24489.7959183673,"Semi-rectangular Shaped",23,120,1935,"LS","House","House","East","Private Road",4.2,"Non-divided City Planning Area",60,100,"4th",2017
"61","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",10,NA,430,9302.32558139535,"Semi-rectangular Shaped",23,65,1935,"W","House",NA,"South","Private Road",2.5,"Category I Residential Zone",60,200,"3rd",2017
"62","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",3,NA,110,18181.8181818182,"Semi-rectangular Shaped",3,60,1935,"W","House","House","West","Private Road",4,"Category I Residential Zone",60,200,"2nd",2017
"63","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",6,NA,55,27272.7272727273,"Semi-rectangular Shaped",6.5,55,1935,"W","House","House","North","City Road",4,"Non-divided City Planning Area",60,100,"2nd",2017
"64","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",8,NA,170,111764.705882353,"Semi-trapezoidal Shaped",10.7,100,1935,"W","House","House","West","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2017
"65","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",18,NA,190,84210.5263157895,"Rectangular Shaped",11.5,105,1935,"W","House","House","South","City Road",5,"Non-divided City Planning Area",60,100,"1st",2017
"66","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",8,NA,170,111764.705882353,"Rectangular Shaped",10.8,105,1935,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",60,100,"1st",2017
"67","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",14,NA,195,112820.512820513,"Semi-trapezoidal Shaped",11.5,120,1935,"W","House","House","Northwest","Private Road",6,"Non-divided City Planning Area",60,100,"2nd",2016
"68","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",12,NA,210,19047.619047619,"Semi-rectangular Shaped",10,135,1935,"W","House","House","East","Private Road",4.2,"Non-divided City Planning Area",60,100,"2nd",2016
"69","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Enza",21,NA,160,106250,"Semi-rectangular Shaped",9.8,100,1935,"W","House","House","North","Private Road",5.9,"Non-divided City Planning Area",60,100,"1st",2020
"70","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",9,"4LDK",110,236363.636363636,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"3rd",2019
"71","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",18,NA,300,123333.333333333,"Irregular Shaped",NA,115,1935,"W","House","House","North","Private Road",4,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2019
"72","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",12,"3LDK",70,257142.857142857,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"4th",2017
"73","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",12,"3LDK",70,257142.857142857,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"2nd",2017
"74","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Sanjo (Takamatsu)",11,"4LDK",105,247619.047619048,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2016
"75","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hanazono (Takamatsu)",8,NA,85,105882.352941176,"Trapezoidal Shaped",13,100,1935,"W","House",NA,"South","City Road",6,"Category I Residential Zone",60,200,"4th",2018
"76","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hanazono (Takamatsu)",8,"3LDK",90,177777.777777778,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"2nd",2017
"77","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hanazono (Takamatsu)",12,"4LDK",100,240000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"2nd",2016
"78","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hayashimichi",15,NA,185,205405.405405405,"Semi-square Shaped",14,110,1935,"W","House","House","South","Private Road",5,"Category II Exclusively Medium-high Residential Zone",60,200,"2nd",2016
"79","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Ritsurin",11,"2LDK",85,176470.588235294,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"4th",2017
"80","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Ritsurin",11,"3LDK",65,61538.4615384615,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"3rd",2016
"81","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Ritsurinkoen",9,NA,260,115384.615384615,"Rectangular Shaped",11,200,1935,"S","House","House","West","City Road",6,"Category I Residential Zone",60,200,"1st",2019
"82","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Ritsurinkoen",9,NA,140,214285.714285714,"Semi-rectangular Shaped",10,105,1935,"W","House","House","North","Road",4,"Category I Residential Zone",60,200,"3rd",2016
"83","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Imajimmachi","Kataharamachi (Takamatsu)",6,NA,200,130000,"Rectangular Shaped",7.6,145,1935,"RC","House","Shop","North","City Road",11,"Commercial Zone",80,500,"4th",2016
"84","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Uchimachi","Kataharamachi (Takamatsu)",1,NA,55,96363.6363636364,"Rectangular Shaped",5.5,60,1935,"W","House","House","South","City Road",2.7,"Commercial Zone",80,500,"2nd",2016
"85","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",10,NA,230,43478.2608695652,"Semi-square Shaped",17,140,1935,"W","House","House","South","City Road",6.5,"Neighborhood Commercial Zone",80,200,"1st",2021
"86","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",11,NA,185,108108.108108108,"Semi-rectangular Shaped",8,80,1935,"W","House","House","East","City Road",4,"Non-divided City Planning Area",60,100,"1st",2021
"87","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",8,NA,220,136363.636363636,"Semi-rectangular Shaped",12.5,105,1935,"W","House","House","East","City Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2021
"88","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",16,NA,200,22500,"Semi-rectangular Shaped",10.5,140,1935,"RC","House","Office","West","City Road",5.5,"Non-divided City Planning Area",60,100,"1st",2021
"89","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",8,NA,250,104000,"Semi-square Shaped",23,120,1935,"W","House","House","North","City Road",4,"Non-divided City Planning Area",60,100,"1st",2021
"90","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",12,NA,140,107142.857142857,"Rectangular Shaped",10,110,1935,"S","House","House","South","Private Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2020
"91","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",10,NA,175,177142.857142857,"Semi-square Shaped",13,110,1935,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",60,200,"4th",2020
"92","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",9,NA,310,30645.1612903226,"Semi-rectangular Shaped",15.5,115,1935,"W","House","House","South","City Road",5,"Non-divided City Planning Area",60,100,"3rd",2020
"93","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",10,NA,195,153846.153846154,"Semi-rectangular Shaped",15,115,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",60,100,"3rd",2020
"94","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",18,NA,175,148571.428571429,"Semi-square Shaped",13,95,1935,NA,"House","House","East","Private Road",6.3,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2020
"95","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",15,"3LDK",75,66666.6666666667,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Non-divided City Planning Area",60,100,"3rd",2020
"96","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",0,NA,125,18400,"Irregular Shaped",35,35,1935,"W","House","Other","North","City Road",4.5,"Category I Residential Zone",60,200,"2nd",2020
"97","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",3,NA,160,125000,"Semi-rectangular Shaped",9,105,1935,"W","House","House","South","City Road",4,"Category I Residential Zone",60,200,"2nd",2020
"98","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",11,NA,240,116666.666666667,"Semi-square Shaped",15,105,1935,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",60,100,"1st",2020
"99","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",9,NA,175,165714.285714286,"Semi-shaped",14.5,105,1935,"LS","House","House","South","Private Road",5,"Non-divided City Planning Area",60,200,"4th",2019
"100","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",6,NA,1300,20769.2307692308,"Semi-square Shaped",NA,145,1935,"LS","House","House","East","Private Road",5.5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2019
"101","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",5,NA,170,82352.9411764706,"Semi-rectangular Shaped",10,135,1935,"W","House","House","North","Private Road",4,"Category I Residential Zone",60,200,"3rd",2019
"102","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",9,NA,135,37037.037037037,"Semi-shaped",11,100,1935,"W","House","House","West","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"2nd",2019
