"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"3712","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Imazucho","Marugame",60,NA,590,25423.7288135593,"Irregular Shaped",NA,170,1935,"W","House","House","Northeast","Road",3,"Non-divided City Planning Area",70,200,"2nd",2014
"3713","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Katamoto",13,NA,230,38695.652173913,"Irregular Shaped",8,80,1935,"W","House",NA,"North","Private Road",4.2,"Quasi-industrial Zone",60,200,"3rd",2010
"3714","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Katamoto",9,NA,150,60000,"Rectangular Shaped",14,95,1935,"W","House",NA,"South","City Road",5,"Quasi-industrial Zone",60,200,"2nd",2010
"3715","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Uoyamachi","Marugame",5,NA,100,180000,"Semi-rectangular Shaped",8,NA,1935,"W","House","House","Northeast","City Road",4.5,"Commercial Zone",80,400,"3rd",2014
"3716","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Otecho","Marugame",14,"3LDK",65,76923.0769230769,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"1st",2014
"3717","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Kitacho",18,NA,210,138095.238095238,"Semi-rectangular Shaped",16,85,1935,"W","House",NA,"East","Private Road",6,"Non-divided City Planning Area",60,200,"4th",2010
"3718","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kasugacho","Hayashimichi",21,NA,340,73529.4117647059,"Semi-rectangular Shaped",13,110,1935,"W","House",NA,"Northeast","Private Road",5,"Quasi-residential Zone",60,200,"2nd",2010
"3719","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawanishichokita","Konzoji",90,NA,125,112000,"Rectangular Shaped",8.9,85,1935,"W","House","House","Southeast","City Road",4,"Non-divided City Planning Area",70,200,"4th",2014
"3720","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kanotsunocho","Ota (Takamatsu)",15,NA,420,61904.7619047619,"Semi-rectangular Shaped",23,230,1935,"RC","House",NA,"West","National Highway",25,"Neighborhood Commercial Zone",80,300,"3rd",2010
"3721","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kanotsunocho","Ota (Takamatsu)",20,"4LDK",70,102857.142857143,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"3rd",2010
"3722","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamitenjincho","Sanjo (Takamatsu)",20,NA,175,57142.8571428571,"Irregular Shaped",3,125,1935,"W","House",NA,"North","City Road",2.5,"Category I Residential Zone",60,200,"3rd",2010
"3723","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawanishichokita","Marugame",60,NA,210,32380.9523809524,"Semi-rectangular Shaped",12,95,1935,"W","House","House","Southeast","City Road",4.5,"Non-divided City Planning Area",70,200,"3rd",2014
"3724","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawanishichokita","Marugame",90,NA,190,26315.7894736842,"Semi-rectangular Shaped",11.5,30,1935,"W","House","Other","Northwest","City Road",5.6,"Non-divided City Planning Area",70,200,"2nd",2014
"3725","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawanishichokita","Marugame",90,NA,270,30370.3703703704,"Semi-rectangular Shaped",15.7,80,1935,"W","House",NA,"Northwest","City Road",5.5,"Non-divided City Planning Area",70,200,"1st",2014
"3726","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kaminocho","Sanjo (Takamatsu)",1,NA,125,288000,"Irregular Shaped",13,110,1935,"W","House",NA,"South","Private Road",5,"Category I Residential Zone",60,200,"1st",2010
"3727","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kawaramachi","Marugame",8,NA,130,138461.538461538,"Semi-shaped",12.8,95,1935,"W","House",NA,"Northwest","City Road",4.5,"Category I Residential Zone",60,200,"1st",2014
"3728","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,160,150000,"Rectangular Shaped",10.5,115,1935,"W","House",NA,"South","Private Road",5,"Non-divided City Planning Area",60,200,"4th",2010
"3729","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",28,NA,190,136842.105263158,"Square Shaped",13.5,120,1935,"W","House",NA,"East","Private Road",5,"Non-divided City Planning Area",60,200,"4th",2010
"3730","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,200,115000,"Semi-rectangular Shaped",4,115,1935,"W","House",NA,"Southeast","Private Road",6,"Non-divided City Planning Area",60,200,"3rd",2010
"3731","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",28,NA,190,147368.421052632,"Square Shaped",13.5,120,1935,"W","House",NA,"East","Private Road",5,"Non-divided City Planning Area",60,200,"3rd",2010
"3732","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,195,102564.102564103,"Rectangular Shaped",12.5,105,1935,"W","House",NA,"East","City Road",5,"Non-divided City Planning Area",60,200,"2nd",2010
"3733","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,200,130000,"Semi-square Shaped",13,120,1935,"W","House",NA,"East","City Road",5,"Non-divided City Planning Area",60,200,"1st",2010
