"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"7468","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",6,"1R",15,133333.333333333,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2009
"1032","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Yakuri",4,NA,145,110344.827586207,"Semi-shaped",12,105,1935,"W","House","House","East","City Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"3rd",2018
"1515","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Fukuokacho","Matsushima 2-chome",12,NA,135,54074.0740740741,"Semi-rectangular Shaped",8,220,1935,"W","House","House","East","City Road",6,"Quasi-industrial Zone",60,200,"3rd",2017
"2871","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechoshimokatsuma","Takase (Kagawa)",18,NA,360,13888.8888888889,"Irregular Shaped",22.5,140,1935,"W","House","House","Northwest","Prefectural Road",7.5,"Outside City Planning Area",NA,NA,"1st",2021
"3715","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Uoyamachi","Marugame",5,NA,100,180000,"Semi-rectangular Shaped",8,NA,1935,"W","House","House","Northeast","City Road",4.5,"Commercial Zone",80,400,"3rd",2014
"624","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitahamacho","Kataharamachi (Takamatsu)",9,"3LDK",70,50000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Commercial Zone",80,400,"1st",2021
"805","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichofuke","Kazashigaoka",60,NA,155,83870.9677419355,"Semi-rectangular Shaped",11.5,90,1935,"W","House","House","North","City Road",6,"Non-divided City Planning Area",60,100,"4th",2017
"2634","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Motodaicho","Motoyama (Kagawa)",28,NA,115,69565.2173913044,"Rectangular Shaped",8.7,90,1935,"W","House","Office","Southwest","City Road",5,"Non-divided City Planning Area",70,200,"1st",2019
"5777","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,180,177777.777777778,"Semi-square Shaped",13.5,130,1935,"LS","House",NA,"South","City Road",5,"Non-divided City Planning Area",60,100,"1st",2012
"5388","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",8,"1LDK",35,120000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"3rd",2015
"7886","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",6,NA,135,103703.703703704,"Semi-rectangular Shaped",12,105,1935,"W","House",NA,"West","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",60,100,"2nd",2008
"6042","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Nakajincho","Kawaramachi",10,"3K",50,1e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Commercial Zone",80,400,"4th",2012
"3300","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Kaita","Shioiri",60,NA,290,12068.9655172414,"Rectangular Shaped",14.5,135,1935,"W","House","House","Northwest","Town Road",9,"Outside City Planning Area",NA,NA,"4th",2018
"6377","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Ikenoshiricho","Kan-onji (Kagawa)",60,NA,210,30952.380952381,"Semi-square Shaped",14,95,1935,"W","House",NA,"South","City Road",5,"Outside City Planning Area",NA,NA,"2nd",2012
"4911","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Shishibuse","Gakuendori",16,NA,180,55555.5555555556,"Semi-trapezoidal Shaped",13,100,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",60,200,"3rd",2010
"525","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",7,NA,280,13214.2857142857,"Rectangular Shaped",NA,60,1935,"W","House","House","South","Private Road",5.5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2018
"3318","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Yoshinoshimo","Enai",29,NA,330,10606.0606060606,"Irregular Shaped",38,100,1935,"W","House","Other","Southwest","Prefectural Road",14,"Non-divided City Planning Area",70,200,"4th",2016
"6660","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",11,NA,175,228571.428571429,"Semi-rectangular Shaped",10,120,1935,"LS","House",NA,"South","Private Road",7,"Category I Residential Zone",60,200,"1st",2013
"6950","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hanzanchonishisakamoto","Okada (Takamatsu)",90,NA,330,57575.7575757576,"Semi-rectangular Shaped",22.5,155,1935,"W","House",NA,"Northwest","City Road",3,"Non-divided City Planning Area",70,200,"4th",2013
"1690","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",8,NA,370,37837.8378378378,"Semi-rectangular Shaped",12,90,1935,"W","House","House","Northeast","City Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2019
"3098","Residential Land(Land and Building)","Residential Area","37364","Kagawa Prefecture","Naoshima Town,Kagawa County","(No Address)","No_station",NA,NA,1900,2210.52631578947,"Semi-shaped",NA,100,1935,"W","House","House","West","Road",2,"Outside City Planning Area",NA,NA,"1st",2017
"8406","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Nishihirayamacho","Marugame",10,"1K",15,133333.333333333,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,200,"3rd",2007
"7102","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",NA,NA,165,30303.0303030303,"Rectangular Shaped",16.5,70,1935,"W","House",NA,"Northeast","Town Road",2.5,"Non-divided City Planning Area",70,200,"1st",2013
"4083","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Motodaicho","Motoyama (Kagawa)",28,NA,115,52173.9130434783,"Rectangular Shaped",8.7,90,1935,"W","House","House","Southwest","City Road",5,"Non-divided City Planning Area",70,200,"3rd",2014
"6047","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Minochoomi","Mino",21,NA,185,25945.9459459459,"Semi-trapezoidal Shaped",9.5,75,1935,"W","House",NA,"Northeast","Agricultural Road",2.6,"Outside City Planning Area",NA,NA,"1st",2015
"268","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",13,NA,175,142857.142857143,"Semi-trapezoidal Shaped",13,115,1935,"W","House","House","North","Private Road",5,"Non-divided City Planning Area",70,200,"3rd",2016
"7098","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Teshimaieura","No_station",NA,NA,95,8421.05263157895,"Rectangular Shaped",7.2,55,1935,"W","House",NA,"North","Town Road",3.5,"Outside City Planning Area",NA,NA,"1st",2013
