"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"8259","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Motoyama (Takamatsu)",16,NA,230,91304.347826087,"Semi-square Shaped",15,95,1935,"W","House",NA,"West","Private Road",6,"Non-divided City Planning Area",60,200,"4th",2008
"6201","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",17,NA,190,57894.7368421053,"Semi-rectangular Shaped",13,115,1935,"W","House",NA,"North","City Road",6,"Category I Residential Zone",60,200,"2nd",2012
"2982","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",NA,NA,470,17446.8085106383,"Irregular Shaped",18,NA,1935,"W","House","House","Northeast","Town Road",3,"Outside City Planning Area",NA,NA,"4th",2020
"6178","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mimayacho","Kinashi",25,NA,240,17083.3333333333,"Semi-rectangular Shaped",11,100,1935,"W","House",NA,"North","City Road",3.3,"Non-divided City Planning Area",60,100,"3rd",2012
"6735","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",4,"4LDK",95,136842.105263158,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2013
"5858","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihommachi","Kozai",19,NA,65,44615.3846153846,"Semi-rectangular Shaped",5,55,1935,"W","House",NA,"West","Private Road",4,"Category I Residential Zone",60,200,"4th",2012
"1836","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",9,NA,105,92380.9523809524,"Rectangular Shaped",8,110,1935,"W","House","House","South","City Road",4.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2019
"2571","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Sakamotocho","Kan-onji (Kagawa)",13,NA,150,17333.3333333333,"Semi-rectangular Shaped",9,110,1935,"W","House","Other","West","Private Road",4,"Quasi-industrial Zone",60,200,"1st",2019
"3649","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",14,NA,115,35652.1739130435,"Rectangular Shaped",7,75,1935,"LS","House",NA,"South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2014
"2428","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Fuchucho","Sanukifuchu",14,NA,490,6122.44897959184,"Semi-square Shaped",23,160,1935,"W","House","House","Southeast","Agricultural Road",0,"Non-divided City Planning Area",70,200,"1st",2019
"6572","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",NA,NA,125,17600,"Irregular Shaped",8.7,NA,1935,"W","House",NA,"Southeast","Town Road",4,"Non-divided City Planning Area",70,200,"4th",2012
"5219","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Kokubu (Kagawa)",60,NA,175,74285.7142857143,"Rectangular Shaped",10.5,100,1935,"W","House","House","Southwest","City Road",4.8,"Non-divided City Planning Area",60,100,"1st",2015
"5799","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Kawaramachi","Kawaramachi",5,NA,30,226666.666666667,"Rectangular Shaped",4,100,1935,"S","House",NA,"East","City Road",6,"Commercial Zone",80,600,"1st",2012
"4797","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Marugamemachi","Kawaramachi",7,"2LDK",75,306666.666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Commercial Zone",80,600,"2nd",2011
"3092","Residential Land(Land and Building)","Residential Area","37364","Kagawa Prefecture","Naoshima Town,Kagawa County","(No Address)","No_station",NA,NA,590,13559.3220338983,"Irregular Shaped",32,95,1935,"W","House","House","North","Town Road",3.3,"Outside City Planning Area",NA,NA,"3rd",2020
"6886","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Rokujocho","Mizuta",16,NA,100,45000,"Semi-rectangular Shaped",10,80,1935,"W","House",NA,"North","City Road",7,"Non-divided City Planning Area",60,100,"1st",2013
"1993","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Iinochohigashibun","Utazu",90,NA,60,15000,"Semi-square Shaped",8.5,60,1935,"LS","House","Other","Northwest","City Road",4,"Non-divided City Planning Area",70,200,"3rd",2016
"6946","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Nishihommachi","Marugame",9,NA,360,15555.5555555556,"Semi-rectangular Shaped",16.5,85,1935,"W","House",NA,"Southeast","Private Road",4,"Category I Residential Zone",60,200,"2nd",2013
"1926","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",5,NA,190,194736.842105263,"Semi-shaped",NA,125,1935,"W","House","House","West","Road",6,"Commercial Zone",80,400,"2nd",2017
"8125","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",11,"3LDK",60,103333.333333333,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"1st",2008
"8619","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",10,NA,240,66666.6666666667,"Semi-rectangular Shaped",18,115,1935,"W","House",NA,"West","Private Road",6,"Non-divided City Planning Area",70,200,"4th",2008
"7618","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Muragurocho","Kan-onji (Kagawa)",26,NA,120,45833.3333333333,"Semi-shaped",16.5,90,1935,"W","House",NA,"North","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"4th",2009
"3921","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Shiogamicho","Kawaramachi",4,"1K",15,140000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2010
"7450","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Busshozan",28,NA,230,19130.4347826087,"Semi-rectangular Shaped",13,70,1935,"S","House",NA,"East","City Road",4,"Non-divided City Planning Area",60,200,"4th",2009
"2960","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Kamisho","No_station",NA,NA,660,13939.3939393939,"Semi-rectangular Shaped",22,60,1935,"W","House","House","East","Road",1.5,"Non-divided City Planning Area",70,200,"3rd",2020
"4221","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"4LDK",110,90909.0909090909,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"1st",2010
"1620","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Hayashimichi",18,NA,130,284615.384615385,"Rectangular Shaped",10.8,90,1935,"W","House","House","North","Private Road",4.2,"Category II Exclusively Low-story Residential Zone",60,150,"1st",2019
"4309","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",19,NA,125,66400,"Semi-square Shaped",12,85,1935,"W","House",NA,"East","City Road",4.2,"Category II Exclusively Medium-high Residential Zone",60,200,"4th",2011
"709","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchoikenouchi","Okamoto (Takamatsu)",60,NA,220,14545.4545454545,"Trapezoidal Shaped",18.5,95,1935,"W","House","House","South","City Road",4.5,"Non-divided City Planning Area",70,200,"2nd",2017
"4968","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Shinhamacho","Marugame",13,NA,185,118918.918918919,"Semi-trapezoidal Shaped",11.5,100,1935,"W","House",NA,"West","Road",5.5,"Category I Residential Zone",60,200,"2nd",2011
"6794","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Bancho","Ritsurinkoenkitaguchi",10,"3LDK",75,4e+05,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"2nd",2013
"7617","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Muragurocho","Kan-onji (Kagawa)",60,NA,490,18367.3469387755,"Semi-shaped",13.5,95,1935,"W","House",NA,"West","City Road",3,"Non-divided City Planning Area",70,200,"4th",2009
"5281","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shindencho","Yashima",60,NA,240,112500,"Semi-rectangular Shaped",11,125,1935,"W","House","House","South","Private Road",5.5,"Non-divided City Planning Area",60,100,"3rd",2015
"6527","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hayashimichi",14,NA,70,14285.7142857143,"Rectangular Shaped",5.7,70,1935,"W","House",NA,"South","Private Road",3,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2013
"7615","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Nagareokacho","Kan-onji (Kagawa)",60,NA,150,40000,"Semi-trapezoidal Shaped",13,100,1935,"W","House",NA,"Northeast","Private Road",4,"Non-divided City Planning Area",70,200,"1st",2009
"3342","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)",5,"4LDK",95,1e+05,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"3rd",2014
"5679","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Yamanokitacho","Marugame",60,NA,190,189473.684210526,"Semi-trapezoidal Shaped",10.6,100,1935,"W","House","House","Southeast","City Road",6,"Non-divided City Planning Area",70,200,"2nd",2015
"8124","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"3LDK",60,66666.6666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"1st",2008
"1425","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Mizuta",21,NA,185,140540.540540541,"Rectangular Shaped",11.2,95,1935,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",60,100,"4th",2019
"7124","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Gakuendori",9,NA,280,57142.8571428571,"Semi-rectangular Shaped",13.5,120,1935,"W","House",NA,"West","Private Road",3.7,"Non-divided City Planning Area",70,200,"2nd",2013
"5350","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Kukodori",19,NA,170,111764.705882353,"Semi-rectangular Shaped",12.3,110,1935,"W","House","House","West","Private Road",5,"Non-divided City Planning Area",60,200,"1st",2015
"3640","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",14,NA,130,115384.615384615,"Semi-shaped",12.4,90,1935,"W","House","House","East","Prefectural Road",12,"Category I Residential Zone",60,200,"3rd",2014
"8138","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Ota (Takamatsu)",60,"3LDK",65,141538.461538462,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"3rd",2007
"6558","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",11,"4LDK",105,93333.3333333333,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2013
"2967","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Fuchizaki","No_station",NA,NA,200,12500,"Semi-shaped",13,NA,1935,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",70,200,"3rd",2020
"1918","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",7,NA,35,108571.428571429,NA,NA,NA,1935,"RC","House","Other",NA,NA,0,"Neighborhood Commercial Zone",80,300,"4th",2018
"5250","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",18,"3LDK",65,246153.846153846,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2015
"1894","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yuracho","Nishimaeda",60,NA,175,120000,"Rectangular Shaped",16,115,1935,"W","House","House","West","Private Road",5,"Non-divided City Planning Area",60,100,"1st",2017
"7382","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tsuruyamachi","Kataharamachi (Takamatsu)",1,"3LDK",75,240000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Commercial Zone",80,400,"4th",2009
"1274","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nariaicho","Enza",60,NA,240,79166.6666666667,"Semi-rectangular Shaped",13,85,1935,"W","House","House","East","City Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2020
"6306","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Marugame",90,NA,420,21428.5714285714,"Semi-rectangular Shaped",19,250,1935,"W","House",NA,"West","City Road",4,"Non-divided City Planning Area",70,200,"1st",2012
"6001","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,NA,610,4754.09836065574,"Semi-trapezoidal Shaped",27,NA,1935,"W","House","House","West","City Road",4,"Non-divided City Planning Area",70,200,"1st",2015
"7199","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",19,NA,155,212903.225806452,"Rectangular Shaped",10,110,1935,"LS","House",NA,"East","City Road",6,"Category II Residential Zone",60,200,"1st",2009
"5967","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sogawahigashimachi","Takata (Takamatsu)",60,NA,730,13424.6575342466,"Rectangular Shaped",NA,130,1935,"W","House",NA,"South","Private Road",4,"Non-divided City Planning Area",50,100,"4th",2012
"7810","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Busshozan",60,NA,165,40000,"Rectangular Shaped",12,100,1935,"W","House",NA,"East","City Road",4,"Non-divided City Planning Area",70,200,"4th",2007
"7117","Residential Land(Land and Building)","Commercial Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",1,NA,200,50000,"Semi-shaped",11,120,1935,"W","House",NA,"South","Town Road",4.4,"Non-divided City Planning Area",70,200,"2nd",2013
"341","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kanotsunocho","Ota (Takamatsu)",20,NA,950,10315.7894736842,"Irregular Shaped",7,250,1935,"W","House","House","North","City Road",2.9,"Non-divided City Planning Area",60,100,"4th",2017
"4971","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hanazono (Takamatsu)",8,"3LDK",65,107692.307692308,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"1st",2015
"4110","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Bancho","Takamatsu (Kagawa)",15,NA,170,70588.2352941177,"Irregular Shaped",7,90,1935,"RC","House",NA,"North","City Road",7,"Category II Exclusively Medium-high Residential Zone",60,200,"3rd",2010
"5136","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Kamogawa",60,NA,250,17600,"Irregular Shaped",10,70,1935,"W","House",NA,"North","Private Road",3.6,"Non-divided City Planning Area",70,200,"3rd",2011
"6871","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",9,NA,75,4000,"Irregular Shaped",8,40,1935,"W","House",NA,"North","City Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2013
"4982","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Takinomiya","Takinomiya",11,NA,540,22222.2222222222,"Semi-rectangular Shaped",NA,110,1935,"W","House",NA,"North","Private Road",6,"Non-divided City Planning Area",70,200,"3rd",2010
"3306","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Shijo","Enai",10,NA,270,111111.111111111,"Rectangular Shaped",14,110,1935,"W","House","House","North","Town Road",5,"Non-divided City Planning Area",70,200,"4th",2016
"6712","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Busshozan",60,NA,195,117948.717948718,"Semi-rectangular Shaped",12.5,110,1935,NA,"House",NA,"Northeast","Private Road",6,"Non-divided City Planning Area",60,100,"1st",2013
"7725","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Sue","Hatada",20,NA,200,65000,"Semi-rectangular Shaped",13,120,1935,"W","House",NA,"Southeast","Private Road",4,"Non-divided City Planning Area",70,200,"3rd",2009
"4389","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamimachi","Sanjo (Takamatsu)",60,NA,120,70833.3333333333,"Semi-trapezoidal Shaped",13,90,1935,"W","House",NA,"South","Private Road",4.5,"Category I Residential Zone",60,200,"2nd",2011
"1381","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"1DK",30,1e+05,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Category II Residential Zone",60,200,"3rd",2018
"791","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kokubunjichonii","Hashioka",12,"3LDK",60,120000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2017
"2903","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,NA,140,14285.7142857143,"Semi-rectangular Shaped",11,NA,1935,"W","House","House","Northeast","City Road",5.4,"Non-divided City Planning Area",70,200,"3rd",2016
"5665","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hanzanchohigashiogawa","Okada (Takamatsu)",60,NA,190,57894.7368421053,"Semi-shaped",14,120,1935,"W","House","Other","East","City Road",6,"Non-divided City Planning Area",70,200,"4th",2015
"3084","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hiragi","Hiragi",8,NA,180,133333.333333333,"Semi-trapezoidal Shaped",14,100,1935,"W","House","House","East","Private Road",5,"Non-divided City Planning Area",70,200,"1st",2020
"6447","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Enzacho","Enza",3,NA,120,50000,"Semi-square Shaped",10.6,60,1935,"LS","House",NA,"East","City Road",4.7,"Category I Residential Zone",60,100,"4th",2013
"7111","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Noma","No_station",NA,NA,1100,12727.2727272727,"Semi-rectangular Shaped",27.6,130,1935,"W","House",NA,"South","Town Road",2.6,"Non-divided City Planning Area",70,200,"3rd",2013
"2812","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Shirotori","Sanukishirotori",16,NA,390,87179.4871794872,"Irregular Shaped",16,105,1935,"W","House","Other","South","Road",4,"Non-divided City Planning Area",70,200,"2nd",2017
"3753","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawanabecho","Enza",24,NA,220,95454.5454545455,"Semi-rectangular Shaped",13.5,125,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",70,200,"2nd",2010
"2551","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kunitacho","Kan-onji (Kagawa)",24,NA,150,93333.3333333333,"Irregular Shaped",12.5,80,1935,"W","House","House","Northwest","Private Road",4,"Non-divided City Planning Area",70,200,"4th",2019
"8695","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Soda","No_station",NA,NA,250,16000,"Irregular Shaped",18,95,1935,"W","House",NA,"East","Road",4,"Outside City Planning Area",NA,NA,"3rd",2007
"1179","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Chuocho","Ritsurinkoenkitaguchi",6,NA,250,192000,"Rectangular Shaped",12.5,155,1935,"W","House",NA,"North","City Road",5,"Commercial Zone",80,400,"3rd",2017
"413","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamedaminamimachi","Takata (Takamatsu)",13,NA,1400,1428.57142857143,"Semi-rectangular Shaped",38,230,1935,"W","House","House","North","City Road",2.5,"Non-divided City Planning Area",60,100,"1st",2020
"545","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",8,NA,105,85714.2857142857,"Semi-rectangular Shaped",7,90,1935,"W","House","House","North","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2016
"2692","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",15,NA,195,158974.358974359,"Semi-trapezoidal Shaped",15,130,1935,"W","House",NA,"South","Private Road",6,"Quasi-industrial Zone",60,200,"2nd",2018
"2075","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",150,NA,190,89473.6842105263,"Irregular Shaped",7.8,110,1935,"W","House","House","East","Private Road",5,"Non-divided City Planning Area",70,200,"1st",2016
"1931","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",7,"1LDK",35,128571.428571429,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"1st",2017
"575","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",17,NA,60,1e+05,"Semi-square Shaped",8,55,1935,"W","House","House","North","City Road",4,"Category II Exclusively Low-story Residential Zone",NA,NA,"1st",2019
"1492","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hyakkemmachi","Kataharamachi (Takamatsu)",4,"2LDK",60,333333.333333333,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Commercial Zone",80,500,"4th",2016
"5300","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",5,NA,530,35849.0566037736,"Semi-shaped",NA,160,1935,"W","House",NA,"West","Road",2,"Category I Residential Zone",60,200,"4th",2011
"7211","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoasano","Kukodori",60,NA,210,85714.2857142857,"Semi-shaped",12,100,1935,"W","House",NA,"Northeast","Private Road",4.5,"Category I Residential Zone",60,200,"2nd",2009
"4283","Residential Land(Land and Building)","Commercial Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Fuchizaki","No_station",NA,NA,140,33571.4285714286,"Semi-trapezoidal Shaped",10,110,1935,"W","House",NA,"Southeast","Town Road",4,"Non-divided City Planning Area",70,200,"1st",2014
"8307","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimahigashimachi","Yakuri",60,NA,150,1e+05,"Rectangular Shaped",15,115,1935,"W","House",NA,"West","Private Road",4,"Category I Exclusively Low-story Residential Zone",50,80,"3rd",2008
"2770","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Nagaonishi","Nagao (Takamatsu)",6,NA,170,76470.5882352941,"Semi-square Shaped",13,105,1935,"W","House","House","East","Private Road",4.5,"Non-divided City Planning Area",70,200,"3rd",2016
"2036","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kubaracho","Marugame",60,NA,155,141935.483870968,"Semi-rectangular Shaped",10.2,100,1935,"W","House","House","Southwest","Private Road",6,"Non-divided City Planning Area",70,200,"1st",2021
"6826","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Kataharamachi (Takamatsu)",9,"2DK",40,170000,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Industrial Zone",60,200,"3rd",2013
"1829","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",17,NA,140,10,"Semi-rectangular Shaped",7.5,80,1935,"RC","House","House","South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2020
"5137","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",13,NA,175,182857.142857143,"Semi-rectangular Shaped",10,125,1935,"W","House","House","North","City Road",5.6,"Quasi-industrial Zone",60,200,"2nd",2015
"1028","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsuminami",3,NA,230,56521.7391304348,"Irregular Shaped",15,195,1935,"W","House","House","West","City Road",3.4,"Category I Residential Zone",60,200,"1st",2018
"1383","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",6,"3LDK",75,320000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Commercial Zone",80,400,"2nd",2018
"6702","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsuminami",6,NA,60,31666.6666666667,"Semi-rectangular Shaped",6.7,60,1935,NA,"House",NA,"Southeast","Private Road",4,"Non-divided City Planning Area",50,80,"2nd",2013
"6079","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hanazonocho","Ritsurin",7,"4LDK",105,247619.047619048,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Residential Zone",60,200,"1st",2012
"7656","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",7,NA,165,28484.8484848485,"Rectangular Shaped",10,90,1935,"W","House",NA,"South","Private Road",4,"Non-divided City Planning Area",70,200,"1st",2009
"7732","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Yamadakami","Sue",90,NA,1200,10000,"Semi-trapezoidal Shaped",33,220,1935,"RC","House",NA,"Northeast","Town Road",5,"Outside City Planning Area",NA,NA,"1st",2009
